,texts,labels
25,በውጭ ምንዛሬ እጥረት መድሀኒቶች  ነዳጅ መለዋወጫ እቃዎች ሸቀጣሸቀጦች ጣራ በነኩበት  በትራንስፖርት እጥረት  በመንገድ ጥበት  በኑሮ ውድነት  በመኖሪያ ቤት እጦትና በስራአጥነት የሚሰቃዩ ዜጎች በሞሏት ከተማ ላይ መሃሉን ትቶ ዳርቻውን  የብሱን ችላ ብሎ ወንዙን በ ቢሊየን ብር ለማልማት ማሰብ  ታሪካዊና በቅርስነት የተመዘገበውን ቤተመንግስት በ  ሚሊየን ዶላር ማደስ የታሪክ ተወቃሽ እንጂ ተጠቃሽ አያደርግም ,negative
26,ህዝቤ ሆይ ደጋግመህ አስብ ጠቅላዩ ሀገር እየመራ ነው ወይስ ራሱን እየመራ,negative
27, አዲስ አበባ ከተማ ውስጥ በሚገኘው ድል በትግል ትምህርት ቤት ካሉ ተማሪዎች መካከል  ተማሪዎች ምግብ ማግኘት የማይችሉ ናቸው ምሳ ለትምህርት በተባለው ፕሮጀክት  ተማሪዎችን ምሳ መመገብ የተቻለ ሲሆን ቀሪ  ተማሪዎች አሁንም ምግብ ሳይመገቡ የሚማሩ ናቸው እናም እነዚህ ምግብ የማያገኙ ተማሪዎች በረሃብ ምክንያት በሚመጣ ህመም በትምህርት ላይ እያሉ ራሳቸውን እየሳቱ ይወድቃሉ,neutral
28, በመካነ ህይወት የአንደኛ ደረጃ ትምህርት ቤት ውስጥ  ያህሉ በቀን አንድ ጊዜ ብቻ ምግብ የሚመገቡ ተማሪዎች ናቸው ከእነዚህ ውስጥ  ያህሉን ምሳ ለትምህርት በተባለው ፕሮጀክት ምሳ እንዲበሉ ተደርጓል ቀሪዎቹ ምግብ ሳያገኙ የሚማሩ ተማሪዎች ናቸው በትምህርት ቤቱ ውስጥ በምግብ እጥረት የተነሳ ራሳቸውን ስተው የሚወድቁ ተማሪዎች ቁጥራቸው ብዙ እንደሆነም ተነግሯል እነዚህ ከላይ የተጠቀሱት መረጃዎች ከጥቂት ወራት በፊት     ያደመጥኳቸው ዘገባዎች ናቸው  ባሳላፍነው እሁድ ከጓደኛዬ ጋር እየተጓዝን ሳለን አንድ በዕድሜ የገፉ ሽማግሌ ገጠሙን  ሽማግሌው በግምት ከ አመት በላይ ይሆናቸዋል  በእጃቸው ዛፍ ለመቁረጥ የሚያገለግል ረጅም ገመድና መጥረቢያ ትከሻቸው ላይ ይዘዋል  አጠገባችን ሲደርሱ ድካም በተጫነው ድምጽ እንዲህ አሉን  ልጆቼ  ከነጋ ምግብ አልቀመስኩም  ራበኝ  እባካችሁ ዝም አትበሉኝ ሽማግሌውን ከሸኘን በኋላ መነጋገር እንኳ አልቻልንም  ውስጣችን ስብር እስኪል አዘንን  በእርግጥ ይህ ለአዲስ አበባ ነዋሪ የሚገርም አይደለም  ምክንያቱም አዲስ አበባ የተራበ ሰው በየጥጉ የሚገኝባት ከተማ ናት  እኚህ ሽማግሌ እኛን ሲያገኙ ከቀኑ  ሊሆን ተቃርቧል  ነገር ግን ምግብ ሊቀምሱም ሆነ ሊያቀምሳቸው የሚችል ሰው አልገጠማቸውም  ለስራ ወጥተው ስራ አልቀናቸውም  ረሃብ በየጓዳችን ያለ ሃቅ ነው  ረሃብ ዐይናችንን መግለጥ ከቻልን ከፊታችን የምናገኘው ሃቅ ነው  አንድም ዜጋ በረሃብ አልሞተም የሚለውን የባለጊዜዎች ንግግር መስማት የሚቀፈኝ ለዛ ነው  የተራበን ለማብላት ከመሯሯጥ ይልቅ የተራበን ለመደበቅ መንደፋደፍ የት እንደሚያደርሰን ግን እንጃ,positive
29,ሪፖርተራችሁ  ቡችላ ነገር ነው,negative
30,ደርግ ወደስልጣን እንደወጣ   ወያኔም አብሮ ጫካ ወጣ ገና የደርግ ፊርማው ሳይደርቅ  ለምን ይሆን በደርግ ስለተበደሉ ሀይለስላሴ ለምን ወደቀ ብለው  ትግራይ ለም መሬት ስለሌለ ስልጣን ይዘው ለዘረፋ ተነሱ,negative
31,እሽ ደስ አላቹህ እስኪ እራሳችንን ሰብሰብ እናርግና ልዪነታችን አጥብበን እንረዳዳ ባንችል በፀሎት,positive
32,አንዱ ተብታባ ወያኔ በድሬ ቲዩብ ኢሄን ባዶ ጭንቅላቱን ሲከፍተው በእውነት እናነተ ትዝ አላችሁኝ እናንተን የማዳመጥ አጋጣሚ እንደሌላው ሰው ባይኖረኝም ግን ባለችኝ አጋጣሚ አዳምጬያችሁ ላመሰግናችሁ እወዳልሁ ወያኔ የናንተን አዘግቶ በተብታባ ሊቀይራችሁ ማሰቡ ራሱ ምርጥ ደደቦች መሆናቸውን ነው የሚያሳይ ነው ,negative
33,ብአዴን ህዝባዊነቱንና ፅናቱን ጠብቆ የህዳሴውን ጉዞ ያፋጥናል,positive
34,ይህ ነው ጀግንነት አሁን ተደራጅታችሁ   የትጥቅ ትግል መጀመር ነው  በየአካባቢው  ያሉትን  ታጋዮች መቀላቀል ነው,positive
35,ሌባ መንግስት ሁሌም ወንጀል ስለሚሰሩ ይፈራሉ ይደነግጣሉ,negative
36,ወንጀለኛ ወያኔዎች ባይደነግጡ ነበር የሚገርመኝ,negative
37,የዘራፊ ሌባ ስብስብ ወያኔ  ሁሉ እነሱ እነማናቸውና  መልካም አስተዳደር የሚያሰፍኑ ወያኔ ህወሀት በራሱ ዘራፊ ወሮበላ ባህሪው ያመጣው  የገማ ግማታም  መልካም አስተዳደር ነው ,negative
38,ኢትዮጵያ ውስጥ መልካም አስተዳደር የሚሰፍነው ይህ የበሰበሰ ወያኔያዊ ስርአት ከነሌቦቹ ተጠራርጎ ሲወገድ ብቻ ስለሆነ ሀገሬን  ከወሮበላው ወያኔ ማዳን አለብኝ ብለን የተጀመረውን ትግል መቀላቀልና  ቆርጦ መታገል ነው,positive
39,እናንተ ኑሩልን,positive
40,ነፃነታችን ከተነጠቅን  አመት ሆኖናል ወገኖቻችንም መታረዳቸውም አዲስ ጉዳይ አይደለም ማንም ይረደን ማን አራጁንም ሆነ ታራጁን የሚአቀርበው የዘረኝነትና የጎጠኝነት መርዝ ጨልጦ ጭንቅላቱን የሚአናውዘው ወያኔ መሆኑን ሁላችንምእናውቃለን ,negative
41,በርቱልን ከጎናችው ነን አንበሳው ጋይንት ነኝ ከጋይንት,positive
42,የሰዎችን መብት አይነካ በምኑ ነው ለሰውልጅ መብት የሚቆሙው,positive
43,ድንቄም የሰብአዊ መብት ተሟጋች       ለልመና ስትራቴጂ ወይስ ለሰብአዊ መብት ነው የሚሟገቱት ፍርዱን ለኢትህዝብ ትቼዋለሁ ,negative
44,ሀይለማሪያም ስለሆድ እንጅ ስለ መብት የት ተማረ እና ነው ዜጎች መብታቸው ጥብቅ ነው እያለ አፍን ሚከፍተው,negative
45,እህቶቻችን በጣም ያሳዝናል አላህ ይዲረስላቸው,positive
46,አይዟችሁ እግዛብሄር መንገዱን ያምቻችላችሁ,positive
47,አምላኬ ድርስልን,positive
48,እር ይርዳችው,positive
49,በጣም ያማል እስከመቸ በስቃይ  እህቶቸ አላህ ይድርስላችሁ,positive
50,በየ ገፁ ከምትለጥፉ መፍትሄ አትፈጥሩም ወሬ ምን ይጠቅማል እጅጉን ውስጤ በልህ እየተንገበገበ ነው ,negative
51,አቤቱ አማላክ ሆይ ድረስ ለተቸገሩ እህቶቻችን,positive
52,እስከመቼ ነው ኢትዮጵያ ውስጥ ባልታጠቀ ተማሪ ላይ አፈሙዝ የምደቀነው   አይ ያች አገር ,positive
53,አረ ላሽ ሀረማያ ተረብሻል ድሬ ካምፓስ ውስጥ ግን እስካሁን ሠላም ነው የታሠረም የለም እያጣራችሁ አውሩ ,positive
54,ለምን ያልተደረገ ታወራላችሁ,negative
55,ወይ ጉድ  ሚልየን ተርቦ እነሱ ግን በካፌ ምግብ ጠግበው አፋቸው እስኪቀደድ ይጮሀሉ ደደቦች ሁላ,negative
56,ችግሮችን አለመግባባቶችን በዉይይት እንፈታለን የሚባለዉስ ረሱት ,negative
57,ለሆዱ የሚኖር መንግስት ስለ ሕዝብ ደንታ የሌለው,negative
58,አቦ ተዉና አታሙዋርቱብን,negative
59,በአመፁ ልክ እርምጃውም ተመጣጣኝ ሆኖ ይቀጥል እንላለን ምክንያቱም ሰራዊቱ የተሰለፈው ምግብ እና ውሃ ሊያቀብል አይደለም ,positive
60,ሃያ አራት አመት ሙሉ በየአመቱ የኦሮሞ ልጆች ደም እንደተገበረ ነው ,negative
61,ከተራበ የጠገበ ያሳዝናል ጥጋብ ወደ ርሃብ ይነዳል,positive
62,ሌባ  ሲጨንቀው ከአስረኛ ፎቅ ይዘላል ይበላቸው,negative
63,ሀረማያ ዩኒቨርሲቲ ካልተዘጋ ሰላም አይኖርም የሀገር ጉዳይ ሳይሆን የብሔር ነው መነሻው,positive
64,እግዚያብሔህር ሆይ ድረስልን,positive
65,ይበላቹ ምድረ አህያ ደግሞ እናተ  ሰው ታፈነ ብላቹ ከመቼው አስተካክላቹ  አደረጋቹት በጣም ትገርማላቹ ሰው ለማፋጀት ፍጥነታቹ ,negative
66,እስከመቸ   አይበቃም እንዴ ,positive
67,እራሱ አህያ እኛንም  አህያ ሊያደርገን ውይ,negative
68,ሰላም እንጂ ውጥረት የለም,positive
69,ዉሸታም,negative
70, እኛ እኮ ያለነው አዲስ አበባ ውስጥ እኮ ነው ውሸቱ አልበዛም ,negative
71,አሸባሪው ወያኔ ህዝብን እያሸበሩ ይገኛሉ,negative
72,ሞት ለወያኔ,negative
73,የዘመኑ እብድ ወያኔ ነው የወያኔ መሪ አላህ ያንሳው,negative
74,የኢትዮጵያ ፌድራል ለሀግር ድንበር በቀጠሩ ለንፁሀን ዜጎች ክላሽ ሰነዘሩ አይ ወያኔ ቀፎ ቅንጭላት ወያኔ,negative
75,ቆይ ወያኔ ሰው አይደለም  ግን ምንድነው እንደዝህ መጨከን በሰው ላይ ለነገሩ መጥፍያቸው ደርሰው ይሆናል,negative
76,የኢትዮ አንድነት ይመለስ ይሆን እንጃ ብቻ,negative
77,እሥኪ አታቁሥሉን,negative
78,እና ምን ይጠበስላችሁ ,negative
79,ይሄ ነዉ ትክክለኛ የኢትዮጵያ ነጻ አዉጪ ሠራዊት  አይዟችሁ እኛም ከጎናችሁ ነን ድል ለእናንተ ይሁን ወድቀትና ሽንፈት ለኢህአዴግ ባለስልጣናት የኢትዮጵያ ህዝብ ለሚጨቁኑት,negative
80,አሁን ላይ እየበጠበጡ ያሉት ምንም የማይጠቀሙት የወያኔ ኮልኮሌዎች ናቸው ,negative
81,እውነት ብለሀል ወንድም ይሄ ገፆ  አስመስሎ ሴናገር አያፍርም   ,negative
82,ቲሽ ወሬ ወሬ ነው  አሁን ምን ትፈጥራላችሁ   ሰላምን መቀበል ካቃታችሁ እንደ ብርሃኑ ኤርትራ ሄዱና ተኙ  ,negative
83,ጀግኖች ናቹ ,positive
84,ሆዳምና ዘረኛ አትንጣጡ ድል ለአርበኛው,positive
85,ወያኔ ትግሬ ጫካ ላይ ሆኖ ለረጂም አመታት እየገዛ ኢትዮጵያን ለመዝረፍ ያሴራቸው ሴራወች ብዙ ናችው,negative
86, ከአባቱ ከሻቢያ ጋር ያሴረው ሳይጣሉ እንደተጣሉ ለአለም ማስመሰል አንድ ዘር አንድ አይነት ባህል ያላቸው ስለሆኑ ደህንነቱ በሚስጥር አብሮ እየሰራ ነው  ,negative
87,ኦሮሞን እና አማራን ማጣለት የትግራይ ተወላጆች አድዋ ላይ ኦሮምኛ  ሰልጥነው አማራን በኦሮምኛ ተናጋሪ ትግሬወች እያፈናቀሉት ነው,negative
88,ህዝባችንን ድሃ በማድረግ በኢኮኖሚ ዝቅ ብሎ እንዲኖር እና ለሆዱ ብቻ እየተገዛ እንዲኖር ማድረግ እና እነሱ የገንዘብ በላይነትን ማንሰራፋት ነው,negative
89,ሬድዮ እና ቴሌቪዥን ለግል ድርጅት አለመስጠት በተጨማሪም ኢንተርኔት  እና የውጭ ሚድያን መዝጋት ጭቆና ነው,negative
90,እንወዳቹሀለን,positive
91,አረ መጠቀም መስማት አልቻልኩም አይረባም,negative
92,ምርጥ  የሰው  ዘር,positive
93,ፐ  ጎድ ነው ፕሬዝዳንት ትራምፕ ይመጣሉ ተብሎ ይጠበቃል ጋሎች ሽወደውን እንደ ወያኔ ትግሬ አልቻለችሁበትም የለለች ሰላም ከየት ትመጣለች ቂቂቂቂቂቂቂቂ,negative
94,ቢገኝ ባይገኝ ለኢትዮጵያ ምንም ችግር አይፈታላትም ,negative
95,ሰላም ሳይኖር የሰላም ፌስትቫል ,negative
96,የራሳችንን ችግር በራሳችን እንፈታለን ሳልኪሪ ይሁን ፖልካጋሜ አምላክ አይደሉም  እነሱ ብገኙም ባይገኙም ምንም የምፈጠሪ ነገሪ የለም,positive
97,ኢትዮጵያን የካደ ህገ መንግስት ይዛችሁ ሰላም እንዴትሰ ይመጣል ሚዲያዎች መንግስትን ሞግቱ ዝም ብላችሁ እንደ ፓሮት የተባለውን ብቻ,negative
98,እውነት እለሀለሁ ችግሩን ከስር መስረቱ አውቃችሁ ያለፍራቻ ያለአድርባይነት ከአሁኑ ተነጋግራችሁ ብትቀርቡ ይሻላል በዋናነት ኢትዬጽያ ኦርቶስዶክስ ቤተክርስትያን ይቅርታ መጠየቅ አለባት ለምን ለሚባለው ብዙ ምክንያት አለውና,positive
99,ስለዚህ የተጣሉት  ሰዎች ናቸዉ ማለት ነው መልካም እርቅ ጠላ አለው ወይስ ፎቶ ተነስቶ መለያየት ነው ,negative
100,ትግራይ ከአብይ አሕመድ መንግስት ጋር ዕርቅ የሚኖረው  በይፋ የትግራይን ህዝብ ባደባባይ ይቅርታ ሲጠይቅ  ነው,positive
101,ካራቲስቱ ሁሉ ፈወሽ በሆነባት ሃገር ሳልቫኪር ለኢትዮጵያ ሰላም ሊሰብክ ቢመጣ አይገርምም,negative
102, አዝማሪ የሆንክ ልጅ ዝምብለክ የሀብታም ቀለምህን ብትበጠብጥ አይሻልህም አይተህ እንዳለዬ ለማለፍ ሞክር ብልህነት ነውና    ፖለቲካ የሰይጣን ጭዋታ ነውና ጩኸትህን ብትቀንስ ምክረ ሀሳቤ ነው ,negative
103,እድሜ ለአብይ የነቻይና እና ሩስያ ጉዋደኛ የነበረች ሃገር የደቡብ ሱዳን ችክ ሆና አረፈችዉ,negative
104,ችግሩ ፖሎቲካዊ ነው በፆሎት መሪዎች ጋጋታ የሚፈታ ችግር አይደለም,negative
105,እውነት ከሆነ ጥሩ ነው መቼም አገሬ ኢትዮጵያ አትሳተፍም ምክንያቱም ሲስተምና የአካል ጥንካሬ ብቃት ያስፈልጋልና ,neutral
106,ገና አሁን ነው የሰማችሁት እንደሚያዘጋጁ ከታወቀ አንድ አመት ሞላው እስከዛሬ የት ነበራቹ የ ዜና እንደ አዲስ,negative
107, ትላንት ለሊቱን የደቡብ ግሎባል ባንክጀሞ ቅርንጫፍ   ተዘርፎ ማደሩን ከባንኩ ሰራተኛ ለመስማት ችለናል ,positive
108,ትምህርት የለለዉን ትምህርት ሚኒስቴር አቅም የለለዉን አቅም ግንባታ ታደርጋላችሁ ብሎ ነበረ ዶ/ር መረራ የአቶ ገዱ እንግልዘኛ አጠራጥሮኝ ቦታዉ የሚፈልገዉ እንግልዘኛ አሳስቦኝ ነዉ,negative
109,መልካም ጊዜ ለክቡር አቶ ገዱ,positive
110,ያ የፈረደብት አማራ ንቃ አሁንስ ማን ሊገደል ይሆን አልሰማንም አላየንም ነው ጫወታው አይደል የዘራችሁትን የምታጭዱብት ቀን ሩቅ አይሆንም,negative
111,ጃዋር መሀመድ አመቱን ሙሉ አጣና እያስያዘ በየመንገዱ ሲረብሹ እንዲዉሉ ያደረጋቸው የኦሮሞ ወጣቶች ትምህርታቸውን በአግባቡ መከታተል ባለመቻላቸው አነው,negative
112,ሰለ ገዱ ሲወራ ትግሬዎች ለምን እንደሚንጫጩ አይገባኝም,negative
113,ይሄ ሰውየ ከአፍሪካ ሃገሮች ውጪ ጉዞ አያደርግም እንዴ  ኦው ረስቼው ለካ እንግልዜኛ እስከሚለማመድ ነው,negative
114,እና ማን ሊተረጉምለት ነው ብቻውን ከሄደ,negative
115,እንደ ሃይለስላሴ በአስተርጓሚ ነው ሰብሰባው ,neutral
116,በምን ዓይነት ቋንቋ ነው የምትግባቡት የደርግ ትራፌ ገዱ እንደር ጋቸው አህያ ጋላ,neutral
117,ጎበዝ የሆነ ሴራማ አለ መጠርጠር ጥሩ ነው መጀመሪያ ከመቸ ጀምሮ እንድህ አይነት ማስታወቂያ የፈተናወች ኤጀንሲ ሲያወጣ ታይቶ ይታወቃል ,negative
118,በአዲስ አበባ ለባለዕድለኞች ያልተላለፉ የጋራ መኖሪያ ቤቶች በቡድን ተከፋፍሉት,negative
119,በተደራጁ ወጣቶች ቁልፋቸው እየተሰበሩ ነው,negative
120,ዘይት እና ሱኳር የሰረቁትስ,negative
121,ትልቅዋን ኦሮሞ ለመገንባት ሲባል የትግሬ እና የአማራ ተወላጆች ላይ ያነጣጠረ የማሰር ዘመቻ እንዲሁም አማራን ከትግሬ ወንድም ህዝብ ጋር የማባላት ስራ እየተሰራ ነዉ,negative
122,የሚኒስተሮች ምቤት ግን  እዉይ እዉዉዉይይይእዉዉዉይይይይ ኤጀንሲዎችን ለምንድነዉ መላ በህግ አምላክ  የማይልልን እረ የመንግስት ያለሽ,negative
123,ስንት የተራበ እያለ ለእነሡ ድንጋይ ወርውሩ ማለት ይሻላል,negative
124,መፅሓፉ እያነበብኩት ነው ልጨርሰውና እኔም ከማውቃቸው ጉዳዮች ከገቡኝ አያይዤ አስታየት ለመስጠት እሞክራለሁኝ ገልፅ  ስለሆንኩ ,neutral
125,ዶ/ር አብይ ኤጀንሲዎችን አንድ አድርግልን በሉት,positive
126,አይ እነ ነውጤ  የአብን ወጠጤዎች ቀድመው የአማራ ክልል አስተማሪዎች ለተማሪዎች መልስ እንዲሰጡና እንዲኮራረጁ ማድረግ አለባቸው ስሉ የሚቀልዱ መስሎኝ ነበር ለካ የምር አደረጉት እንግድህ ከዚህ በላይ ድንቁርና ከዬት ይመጣል,positive
127,ጀዋር የሰረቀውስ አመት አረሼም ነው,negative
128,ቀደማቹ ይመች ነበር,positive
129,አልታይ አለችኝ እንዳሉ መንታ ዝንጀሮ ነው የሚመስሉ,negative
130,ክብርት ፕሬዘዳንት እንኳን ደስ ያልሆ ኮርተናል በርቱ,positive
131,እዚጋ የአይን ፈተና ያሰፈልጋል  እሳቸው አልታየኝ አሉ እንኳን ደስ አለዎት እንኳንም ደስ አለን ,positive
132,ኢትዮጵያ በሁሉም ነገር አንደኛ ነን ጉራ አያልቅብን ብቻ ያሳዝናል አገር እንዳገር ህግና ፍትህ የሌለባት አገር ብዙ ሲወራ ያሳፍራል ,positive
133,ደሞ እሱዋ ምን አድርጋ ነው ተፅእኖ ፈጣሪ የተባለችው ምነው ባትቀልዱ ስንት ኢትዮጵያዊ ጎበዝ ሴቶች እያሉ እሱዋ በምን መስፈርት ነው የተመረጠች,negative
134,ምን ይመስላሉ በፈጣሪ,negative
135,ጥሩ ነው እኔ ማይገባኝ ይህ አይነት ሽልማት በተሾሙ ማግስት ጀምሮ ነው እንደ ሚታጩት መለኪያ የለውም,negative
136,ደረጃ መያዝ እን በዝርዝር መግባት ለኢትዮጵያ እና ህዝቦቻ በተጨባጭ አሁን ምን አበረከቱ ለቀጣይስ የዚህ የዝርዝር ዝና ያክል ምን ለውጥ ያመጣሉ,negative
137,በርግጥ የኛ ፕሬዜዳንት ከታች ወደላይ  ተራ ላይ በክብር ገጭ ብለው ይታያሉ ,negative
138, ተፅእኖ ፈጣሪ    ብሊስ  የብርጋዴር ጄኔራል አሳምነው ፅጌ  ባለቤት ያለምንም ወንጀል እንደዛ ሴትን ልጅ እስከ እርግዝናዋ በ እሥር ቤት በሚያሠቃየው የከሐዲው ድርቡሹ አብይ አስተዳደርን በሴትነት ተሹመው ለ ሴት ግን ያልቆሙ እነ ብርቱካነ መድቄሳ ሆነች መአዛ ብሩ  ማፈሪያወች የሴት አሳፋሪወች እንጅተፅእኖ ፈጣሪ    ድንቄም  ማፈሪያወች ናቸው,negative
139,በጣም ጀግና ሰርተው ነው በወሬ አይደለም መስራት ያስከብራል,positive
140,ምን ስላደረጉ ነው ቤተ መንግስት መቀመጥ በምን መልኩ ነው ተፅእኖ ፈጣሪ የሚሆነው ለአገሪቷ በቁማ መስመጥ ለተጫወቱት ሚና ይሆን,negative
141,ምን አድርጋ ብዬ ብጠይቅ እኮ የሚሰድበኝ አይጠፋም,negative
142,እኔ እኮ ድርቅ ብቻ የሚያጠቃን ይመስለኝ ነበር ለካ የበታችነት ስሜትም ያጠቃናል የኢትዮጵያ ፕርዚደንትን የምታክል ሴት ከአፍሪካ  ሴቶች ተርታ ገባች ብሎ ዜና አረ  የሚባል ነገር አለ የ  ሚልየን ህዝብ ፕረዚደንት ን ተዉና  ውስጥ ካልገባች ችግር አለ,negative
143,ሀና ፍቅር አንቺ ደደብ ሸርሙጣ በአንቺ አፍ አይጠሩም ቅሌታም,negative
144,ፕሬዝደንት ከመሆናቸው በፍት የነበራቸው አስተዋፅኦ ትልቅ ድርሻ ብኖሮው ነው ብየ አስባለሁ ያው በጣም ደስ ይላል ለማለት ነው,positive
145,የዘንድሮ መሪዎቻችን አዲስ ነገር መስራት ሲገባቸው ተሰርቶ ያለቀለትን ጉዳይ እያወሩ ተቸገርን ጎበዝ,negative
146,መጀመረያ ሳህለወርቅ እራሳቸው አለመገረዛቸው ያሳዩን ያላቻ ጋብቻ ለወንድ ልጅ ብልት አምላክ ይሁንቦት አይገድቡብን በስሜታችን አትምጡ ሳህለጨርቅ ዘውዴ,negative
147,እናመስግናለን ፕሬዘዳንት ሳህለወርቅ ለሚቀጥሉት አመታት ምርጫ ምናም ትታችሁ ወገባችሁን አጥብቃችሁ ከመስመር የሚወጣውንም ጸጥ አድርጋችሁ የተረጋጋች ኢትዬጽያን መልሱና ወደ ምርጫ እንሄዳለን የመቶ ሚሊየን ህዝብ እጣ ፈንታ በእጃችሁ ነውና ኮስተር ማለት ጊዜው ጠይቋልና አደራችሁን,positive
148,ዶ/ር ቦጋለች ገብሬን አማከረች እንዴ እውቅና ተስጣት  ,neutral
149,እናቶቻችን ብታምኑበት እንጅ ባታምኑበት ኑሮ ድሮ ድሮ በቀረ,negative
150,በጣም ጭንቀት ዉስጥ እንገኛለን ግዜ ሳይሰጥ በአፋጣኝ ምላሽ እንድሰጠን የምመለከተዉን ሁሉ ባለ ድርሻ አካላት እንጠይቃለን,positive
151,አስገራሚ ነገር ነው ፈተና ሁሉም እንደ ጥረቱና ልፋቱ የሚያገኘው ውጤት እንጂ እንደ ፓለቲካችን በብሄር የምንወከልበት ምክር ቤት አደለም መቼ ነው እንደ ሀገር የምናስበው,positive
152,በቃ እንዳይከፋችሁ ጌታቸው አሰፋን እንላከው ነገሩ ደግሞ እዛም በለመደው ሞባይል ቢሰርቅስ,negative
153,ሁሉ ነገር ወደቢሄር አይ ትውልድ  ሲፈተኑ ስለዘራቸው ሞልተው እንዳይሆን እኔ ግን ኩሩ የአዳም ዘርነኝ,positive
154,ችግሩ በአማራ ክልል ብቻ ነዉ ወይስ በሌላ ክልል አለ,neutral
155,በአንድ ለአምስት በማደራጀት ፈተና አሰርቶ ሲያበቃ ስኮፕላስቲክ አፕቲቱድ ላይ ዝቅተኛ ውጤት በመገኘቱ ወደ  ለማድረስ ዶ/ር ጥላዬ እየሰራ ነው ማሳቅያ የሖነ ሚኒስቴር,negative
156,በእውነት እነዚህ ሰዎች ወረዱ በጣም ቆይመጀመሪያ ቆይመጀመሪያእረተው ግፉበዛ,neutral
157,ማለፊያው ስንት ነው ,neutral
158,ፈተና ማጣራት ብቻ ሳይሆን ሠራተኞቹን ማጥራት ተገቢ ነው  ዝርክርክ እና ለባ ሌብነት ይዘራል ,negative
159,መጣራት ካለበት የኬምስትሪ እና ባዮሎጂ የት/ት ዓይነቶች ላይ በተወሰኑት ት/ቤቶች ብቻ  ውጤት ተማሪዎች አመጡ ተብሎ የሚወራውም ይጣራ,positive
160,ሀገር አቀፍ የፈተናዎች ኤጀንሲ መቼ ፈተና በትክክል ያርማል,negative
161,እባካችሁ መንግሥት ካለ  ብቻ ሳይሆን የባዮሎጂ ኬሚስትሪ እና ሲቪክስ ኮርሶችም መፈተሽ አለባቸዉ እስኪ እ/ር ያሳያችሁ ዉጤቱን ተመልከቱ,negative
162,ምን እየተሠራ ነው  ተጨባጭ የማስተካከያ ተደርጎ የተፈጠረው ችግርና የተወሰደው የማስተካከያ እርምጃ ለህዝብ ይፋ ይደረግ,positive
163,ነገርማ አለ ዘንድሮ ማንም አይለቃችዉም,negative
